home_location,uk_salary
UK,29000
Asia,13000
UK,22000
UK,26000
Europe (not UK),31000
UK,26000
Europe (not UK),12000
UK,33000
Europe (not UK),23000
Europe (not UK),29000
UK,31000
UK,28000
UK,29000
UK,22000
UK,30000
UK,17000
UK,17000
UK,27000
UK,33000
UK,35000
UK,25000
UK,37000
Europe (not UK),31000
UK,24000
UK,32000
UK,21000
UK,43000
UK,17000
Europe (not UK),17000
UK,24000
UK,25000
UK,27000
UK,24000
UK,29000
UK,30000
UK,22000
UK,28000
UK,29000
UK,47000
UK,38000
UK,24000
UK,36000
Europe (not UK),24000
UK,27000
UK,31000
UK,21000
UK,36000
UK,27000
UK,33000
UK,22000
UK,28000
Europe (not UK),16000
Europe (not UK),18000
UK,29000
UK,33000
Asia,61000
Asia,14000
UK,32000
UK,20000
Europe (not UK),27000
UK,32000
UK,4000
UK,24000
UK,32000
UK,39000
UK,29000
UK,30000
UK,26000
UK,29000
UK,8000
UK,43000
UK,39000
UK,30000
UK,30000
UK,28000
UK,50000
UK,30000
Europe (not UK),29000
UK,25000
UK,29000
UK,38000
UK,30000
Europe (not UK),37000
UK,22000
Europe (not UK),26000
UK,42000
UK,7000
UK,32000
UK,29000
UK,23000
Europe (not UK),27000
UK,41000
UK,37000
UK,32000
Asia,26000
UK,34000
UK,19000
Europe (not UK),20500
UK,35000
UK,27000
UK,25000
Asia,6000
UK,32000
UK,17000
UK,8000
UK,31000
UK,5000
UK,26000
UK,23000
UK,60000
UK,38000
UK,24000
UK,29000
Asia,12000
UK,27000
UK,29000
UK,30000
Asia,11600
UK,26000
Europe (not UK),24000
UK,27000
UK,26000
UK,30000
UK,30000
UK,27000
UK,25000
UK,32000
UK,22000
UK,25000
UK,29000
UK,27000
Asia,38000
UK,25000
UK,21000
UK,31000
Asia,4000
Europe (not UK),30000
Asia,25000
UK,41000
UK,3000
Asia,8000
Europe (not UK),38000
UK,27000
UK,27000
UK,37000
UK,42000
UK,20000
UK,32000
UK,24000
UK,29000
UK,27000
UK,31000
UK,32000
UK,29500
UK,39000
UK,22000
UK,20000
UK,29000
Asia,20000
UK,29000
UK,32000
UK,29000
UK,18000
Asia,8000
UK,29000
UK,26000
UK,33000
UK,25000
UK,48000
UK,17000
UK,20000
UK,22000
UK,30000
UK,25000
UK,26000
UK,32000
UK,28000
Europe (not UK),6000
Asia,21000
UK,22000
UK,23000
UK,33000
Europe (not UK),24000
UK,30000
UK,28000
Europe (not UK),31000
Europe (not UK),25000
Europe (not UK),6000
UK,27000
UK,28000
UK,27000
Europe (not UK),26000
UK,24000
UK,32000
UK,41000
Europe (not UK),8000
UK,43000
Europe (not UK),33000
Europe (not UK),31000
UK,24000
UK,25000
UK,NA
UK,28000
UK,28000
UK,53000
