facebook_friends,instagram_followers,instagram_follow,pop_score,rock_score,music_pref
357,605,597,14,5,pop-tastic
69,131,199,12,5,pop-tastic
100,600,1100,5,8,easy-LSM
30,1058,1202,11,6,pop-tastic
200,350,1045,15,2,pop-tastic
447,559,327,13,4,pop-tastic
127,2166,1164,9,3,pop-tastic
252,534,850,11,8,easy-LSM
11,362,1091,11,10,easy-LSM
143,603,319,13,2,pop-tastic
326,1094,671,14,8,pop-tastic
113,980,940,12,17,rock-on
764,672,1689,10,3,pop-tastic
30,1050,900,14,15,easy-LSM
23,56,727,6,14,rock-on
548,1133,717,14,4,pop-tastic
360,87,337,12,12,easy-LSM
1200,2500,939,14,18,rock-on
1,1,1,8,8,easy-LSM
183,619,1223,15,5,pop-tastic
292,338,580,13,2,pop-tastic
318,206,292,15,4,pop-tastic
254,727,1224,15,2,pop-tastic
206,1662,627,8,5,easy-LSM
35,89,179,7,4,easy-LSM
0,28,292,12,11,easy-LSM
172,709,691,11,2,pop-tastic
0,54,180,12,8,pop-tastic
207,414,466,10,9,easy-LSM
7,70,147,10,3,pop-tastic
103,1472,1076,16,3,pop-tastic
52,529,628,15,3,pop-tastic
683,2957,993,18,7,pop-tastic
194,185,388,4,13,rock-on
4,433,311,16,11,pop-tastic
1124,792,935,12,4,pop-tastic
129,250,921,2,14,rock-on
57,218,315,10,9,easy-LSM
356,544,506,11,13,easy-LSM
554,334,382,13,13,easy-LSM
87,230,377,17,5,pop-tastic
431,266,464,8,13,rock-on
521,548,988,14,13,easy-LSM
0,773,500,11,3,pop-tastic
186,430,463,16,3,pop-tastic
481,197,236,16,12,pop-tastic
257,1414,349,10,16,rock-on
805,1155,559,16,6,pop-tastic
100,350,300,17,9,pop-tastic
8,253,273,18,3,pop-tastic
308,357,660,14,12,easy-LSM
0,100,153,12,9,easy-LSM
532,653,3196,13,7,pop-tastic
212,619,503,12,15,easy-LSM
250,850,937,8,8,easy-LSM
40,133,182,11,0,pop-tastic
210,530,503,11,5,pop-tastic
277,839,557,12,4,pop-tastic
154,131,249,9,0,pop-tastic
122,151,367,15,17,easy-LSM
1,749,294,13,9,pop-tastic
139,552,503,13,2,pop-tastic
150,440,700,15,14,easy-LSM
134,161,158,12,8,pop-tastic
2,2,2,12,12,easy-LSM
153,140,236,12,7,pop-tastic
21,22,27,11,5,pop-tastic
120,337,329,7,18,rock-on
50,250,300,11,0,pop-tastic
196,1205,678,14,7,pop-tastic
25,155,212,8,16,rock-on
840,496,658,12,12,easy-LSM
49,703,494,10,15,rock-on
499,407,948,15,11,pop-tastic
40,400,300,13,6,pop-tastic
201,428,445,3,0,easy-LSM
102,1126,805,10,6,pop-tastic
200,676,652,12,5,pop-tastic
52,563,814,4,12,rock-on
400,700,350,9,15,rock-on
496,1632,1360,17,6,pop-tastic
7,26,7,12,4,pop-tastic
258,714,538,7,15,rock-on
1099,706,594,8,16,rock-on
10,768,696,13,3,pop-tastic
842,2139,1604,11,7,pop-tastic
359,501,523,13,3,pop-tastic
191,1325,1256,14,0,pop-tastic
150,410,796,10,4,pop-tastic
241,1647,1414,10,3,pop-tastic
0,316,1508,12,6,pop-tastic
